Files already downloaded and verified
Files already downloaded and verified

  0%|          | 0/1563 [00:00<?, ?step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   0%|          | 0/1563 [00:01<?, ?step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.2986, Acc:0.1875:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.2979, Acc:0.0938:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.3046, Acc:0.0938:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.3084, Acc:0.0312:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.3084, Acc:0.0312:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3003, Acc:0.1250:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3165, Acc:0.0312:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3083, Acc:0.0938:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.2965, Acc:0.1250:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3003, Acc:0.0625:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3030, Acc:0.0312:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3089, Acc:0.0938:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3082, Acc:0.1562:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.2961, Acc:0.0938:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3038, Acc:0.0938:   6%|▌         | 95/1563 [00:02<00:18, 77.75step/s]
[ 1 / 20 ], Loss:2.3038, Acc:0.0938:   7%|▋         | 105/1563 [00:02<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.3029, Acc:0.1250:   7%|▋         | 105/1563 [00:02<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.3050, Acc:0.0938:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2952, Acc:0.0938:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.3019, Acc:0.1562:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2826, Acc:0.1250:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2840, Acc:0.1875:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2973, Acc:0.0625:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2905, Acc:0.0938:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2874, Acc:0.1250:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2992, Acc:0.1250:   7%|▋         | 105/1563 [00:03<00:17, 82.45step/s]
[ 1 / 20 ], Loss:2.2992, Acc:0.1250:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3049, Acc:0.0938:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.2935, Acc:0.0625:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3164, Acc:0.0625:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.2962, Acc:0.0938:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3045, Acc:0.0625:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3043, Acc:0.0938:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.2903, Acc:0.1250:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3039, Acc:0.0625:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.2993, Acc:0.1875:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3120, Acc:0.1562:   7%|▋         | 115/1563 [00:03<00:16, 85.54step/s]
[ 1 / 20 ], Loss:2.3120, Acc:0.1562:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3107, Acc:0.0312:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.2992, Acc:0.1250:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3126, Acc:0.1250:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.2958, Acc:0.0938:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3139, Acc:0.1250:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3127, Acc:0.0000:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3051, Acc:0.0938:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3057, Acc:0.1250:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.2821, Acc:0.2188:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3009, Acc:0.0625:   8%|▊         | 125/1563 [00:03<00:17, 83.79step/s]
[ 1 / 20 ], Loss:2.3009, Acc:0.0625:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.2953, Acc:0.0938:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.2869, Acc:0.2812:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.3130, Acc:0.1875:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.3007, Acc:0.1562:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.2965, Acc:0.1562:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.2968, Acc:0.0938:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.3070, Acc:0.0000:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.3089, Acc:0.0625:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.2983, Acc:0.1250:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.2977, Acc:0.0312:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.3001, Acc:0.1562:   9%|▊         | 135/1563 [00:03<00:16, 87.10step/s]
[ 1 / 20 ], Loss:2.3001, Acc:0.1562:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.2939, Acc:0.2188:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.3017, Acc:0.0938:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.3018, Acc:0.0938:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.2930, Acc:0.1562:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.2791, Acc:0.2188:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.2957, Acc:0.0938:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.2914, Acc:0.2500:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.3061, Acc:0.1250:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.3038, Acc:0.1562:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.3075, Acc:0.1875:   9%|▉         | 146/1563 [00:03<00:15, 90.94step/s]
[ 1 / 20 ], Loss:2.3075, Acc:0.1875:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2893, Acc:0.1562:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.3045, Acc:0.1250:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2890, Acc:0.0938:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.3139, Acc:0.0312:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2919, Acc:0.1250:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2959, Acc:0.1250:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.3083, Acc:0.0312:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.3075, Acc:0.1250:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2946, Acc:0.0938:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2969, Acc:0.0938:  10%|▉         | 156/1563 [00:03<00:15, 92.56step/s]
[ 1 / 20 ], Loss:2.2969, Acc:0.0938:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.2929, Acc:0.1250:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.2998, Acc:0.0938:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3012, Acc:0.1562:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.2976, Acc:0.2188:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3073, Acc:0.0625:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.2969, Acc:0.0938:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3269, Acc:0.0000:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3126, Acc:0.0000:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3143, Acc:0.0312:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3085, Acc:0.0625:  11%|█         | 166/1563 [00:03<00:16, 86.92step/s]
[ 1 / 20 ], Loss:2.3085, Acc:0.0625:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.2946, Acc:0.0625:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.2903, Acc:0.1250:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.3085, Acc:0.0625:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.2994, Acc:0.0938:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.3062, Acc:0.0625:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.3035, Acc:0.0625:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.3005, Acc:0.1875:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.3035, Acc:0.1562:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.3150, Acc:0.0312:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.2990, Acc:0.0938:  11%|█▏        | 176/1563 [00:03<00:15, 89.29step/s]
[ 1 / 20 ], Loss:2.2990, Acc:0.0938:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.2987, Acc:0.1875:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.3193, Acc:0.0938:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.2953, Acc:0.1250:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.2931, Acc:0.0625:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.3049, Acc:0.1250:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.2998, Acc:0.0938:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.2911, Acc:0.2500:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.3022, Acc:0.0625:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.2951, Acc:0.0938:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.3001, Acc:0.0938:  12%|█▏        | 186/1563 [00:03<00:15, 88.75step/s]
[ 1 / 20 ], Loss:2.3001, Acc:0.0938:  13%|█▎        | 196/1563 [00:03<00:15, 90.61step/s]
[ 1 / 20 ], Loss:2.3017, Acc:0.0625:  13%|█▎        | 196/1563 [00:04<00:15, 90.61step/s]
[ 1 / 20 ], Loss:2.2937, Acc:0.1250:  13%|█▎        | 196/1563 [00:04<00:15, 90.61step/s]
[ 1 / 20 ], Loss:2.2950, Acc:0.1250:  13%|█▎        | 196/1563 [00:04<00:15, 90.61step/s]
[ 1 / 20 ], Loss:2.2885, Acc:0.1562:  13%|█▎        | 196/1563 [00:04<00:15, 90.61step/s]
[ 1 / 20 ], Loss:2.3017, Acc:0.0625:  13%|█▎        | 196/1563 [00:04<00:15, 90.61step/s]
[ 1 / 20 ], Loss:2.2934, Acc:0.1875:  13%|█▎        | 196/1563 [00:04<00:15, 90.61step/s]
