Files already downloaded and verified
Files already downloaded and verified
  0%|          | 0/1563 [00:00<?, ?step/s]
[ 7 / 20 ], Loss:1.3964, Acc:0.5625:  95%|█████████▍| 1481/1563 [00:15<00:00, 105.90step/s]
[ 7 / 20 ], Loss:1.1990, Acc:0.5938:  95%|█████████▍| 1481/1563 [00:15<00:00, 105.90step/s]
[ 7 / 20 ], Loss:1.1990, Acc:0.5938:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.8496, Acc:0.4688:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.4879, Acc:0.4375:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.2280, Acc:0.5625:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:0.8815, Acc:0.5625:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.4639, Acc:0.5625:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.4346, Acc:0.5000:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.1658, Acc:0.5938:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:0.9461, Acc:0.7188:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.2570, Acc:0.6250:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.4403, Acc:0.5000:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.6298, Acc:0.4062:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.1727, Acc:0.6250:  96%|█████████▌| 1493/1563 [00:15<00:00, 106.58step/s]
[ 7 / 20 ], Loss:1.1727, Acc:0.6250:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.0603, Acc:0.6562:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.0989, Acc:0.5938:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.3853, Acc:0.4062:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.0611, Acc:0.5938:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.1975, Acc:0.5312:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.5023, Acc:0.5312:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.4341, Acc:0.5000:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.0232, Acc:0.4688:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.1468, Acc:0.5625:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.5812, Acc:0.4688:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.0761, Acc:0.5938:  96%|█████████▋| 1505/1563 [00:15<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.3870, Acc:0.4688:  96%|█████████▋| 1505/1563 [00:16<00:00, 106.47step/s]
[ 7 / 20 ], Loss:1.3870, Acc:0.4688:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.4188, Acc:0.7188:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.1192, Acc:0.5938:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.7077, Acc:0.3750:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.4453, Acc:0.4688:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:0.7957, Acc:0.6562:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.4125, Acc:0.5000:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.1791, Acc:0.6562:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.6724, Acc:0.3438:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.5395, Acc:0.5000:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.5452, Acc:0.4688:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.3501, Acc:0.5000:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.1018, Acc:0.5938:  97%|█████████▋| 1517/1563 [00:16<00:00, 107.18step/s]
[ 7 / 20 ], Loss:1.1018, Acc:0.5938:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.5801, Acc:0.5000:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.4621, Acc:0.4688:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.2380, Acc:0.4062:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.3541, Acc:0.4688:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.3477, Acc:0.5000:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.3802, Acc:0.5938:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.4699, Acc:0.4375:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.0345, Acc:0.5938:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.3147, Acc:0.5625:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.4403, Acc:0.4375:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.3229, Acc:0.5312:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.4129, Acc:0.5000:  98%|█████████▊| 1529/1563 [00:16<00:00, 108.15step/s]
[ 7 / 20 ], Loss:1.4129, Acc:0.5000:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.4090, Acc:0.5000:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.1134, Acc:0.6875:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.1207, Acc:0.5312:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.2483, Acc:0.5938:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.1363, Acc:0.5312:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.1179, Acc:0.5312:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.0688, Acc:0.5625:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.0018, Acc:0.7188:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.4121, Acc:0.5625:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.3561, Acc:0.4062:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.1408, Acc:0.6562:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.6229, Acc:0.4062:  99%|█████████▊| 1541/1563 [00:16<00:00, 108.16step/s]
[ 7 / 20 ], Loss:1.6229, Acc:0.4062:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.3574, Acc:0.4688:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.2265, Acc:0.5000:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.4553, Acc:0.5000:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:0.9209, Acc:0.6562:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.2353, Acc:0.5625:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.2016, Acc:0.4688:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.2666, Acc:0.5312:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.1339, Acc:0.5938:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.1457, Acc:0.6562:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.1566, Acc:0.5000:  99%|█████████▉| 1553/1563 [00:16<00:00, 108.08step/s]
[ 7 / 20 ], Loss:1.1566, Acc:0.5000: 100%|██████████| 1563/1563 [00:16<00:00, 94.71step/s] 

  0%|          | 0/1563 [00:00<?, ?step/s]
[ 8 / 20 ], Loss:1.1637, Acc:0.5938:   0%|          | 0/1563 [00:00<?, ?step/s]
[ 8 / 20 ], Loss:1.1637, Acc:0.5938:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.4671, Acc:0.5625:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.4804, Acc:0.4688:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.2461, Acc:0.4688:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.2123, Acc:0.5938:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.1286, Acc:0.5625:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.3379, Acc:0.5625:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.1469, Acc:0.5938:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:0.9707, Acc:0.5938:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:0.9674, Acc:0.7812:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:0.9987, Acc:0.6875:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.1211, Acc:0.6250:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.1480, Acc:0.6562:   0%|          | 1/1563 [00:00<04:05,  6.35step/s]
[ 8 / 20 ], Loss:1.1480, Acc:0.6562:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.1920, Acc:0.5938:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.0664, Acc:0.6875:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.3223, Acc:0.4375:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.3848, Acc:0.4062:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.5011, Acc:0.4062:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.5684, Acc:0.4062:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.3023, Acc:0.5000:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.3326, Acc:0.6250:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.2532, Acc:0.5000:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.2381, Acc:0.5625:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.5903, Acc:0.3750:   1%|          | 13/1563 [00:00<00:27, 57.03step/s]
[ 8 / 20 ], Loss:1.5903, Acc:0.3750:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.1718, Acc:0.6875:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:0.7012, Acc:0.8125:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.2307, Acc:0.5000:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.1899, Acc:0.5000:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.3839, Acc:0.5000:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.1602, Acc:0.5938:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.0740, Acc:0.6562:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.2477, Acc:0.5625:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.0793, Acc:0.6562:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.0772, Acc:0.6875:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.4262, Acc:0.4375:   2%|▏         | 24/1563 [00:00<00:20, 76.47step/s]
[ 8 / 20 ], Loss:1.4262, Acc:0.4375:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.3527, Acc:0.5938:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.3438, Acc:0.4688:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.0820, Acc:0.5312:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.0975, Acc:0.6250:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:0.9605, Acc:0.6562:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:0.9241, Acc:0.7500:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.3295, Acc:0.4688:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:0.9551, Acc:0.6250:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.1433, Acc:0.5938:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.1136, Acc:0.6875:   2%|▏         | 35/1563 [00:00<00:17, 86.16step/s]
[ 8 / 20 ], Loss:1.1136, Acc:0.6875:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.3008, Acc:0.5312:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.1173, Acc:0.6562:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.3564, Acc:0.5000:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.5294, Acc:0.4688:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.0858, Acc:0.5312:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:0.9300, Acc:0.6875:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.2491, Acc:0.6562:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.4797, Acc:0.4375:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:1.2080, Acc:0.4688:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:0.9435, Acc:0.7188:   3%|▎         | 45/1563 [00:00<00:17, 87.18step/s]
[ 8 / 20 ], Loss:0.9435, Acc:0.7188:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.3000, Acc:0.5312:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.1080, Acc:0.5625:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.2100, Acc:0.5000:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.3796, Acc:0.5312:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:0.9633, Acc:0.7500:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.5013, Acc:0.4688:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.1995, Acc:0.5312:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.1198, Acc:0.6250:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.2661, Acc:0.5312:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.1844, Acc:0.5938:   4%|▎         | 55/1563 [00:00<00:17, 88.37step/s]
[ 8 / 20 ], Loss:1.1844, Acc:0.5938:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:0.9494, Acc:0.6875:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.1029, Acc:0.6250:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.0841, Acc:0.6875:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.3025, Acc:0.5938:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.5302, Acc:0.5000:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:0.8976, Acc:0.6562:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.2610, Acc:0.5312:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.4912, Acc:0.4375:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.0672, Acc:0.5312:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:0.9152, Acc:0.6250:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.0424, Acc:0.6250:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.4715, Acc:0.5000:   4%|▍         | 65/1563 [00:00<00:16, 89.53step/s]
[ 8 / 20 ], Loss:1.4715, Acc:0.5000:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:0.9520, Acc:0.5938:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.3209, Acc:0.5000:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.2664, Acc:0.5938:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.3658, Acc:0.5312:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.1364, Acc:0.5938:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.2799, Acc:0.5312:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.0474, Acc:0.6875:   5%|▍         | 77/1563 [00:00<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.0920, Acc:0.6875:   5%|▍         | 77/1563 [00:01<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.5580, Acc:0.4688:   5%|▍         | 77/1563 [00:01<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.3245, Acc:0.5312:   5%|▍         | 77/1563 [00:01<00:15, 95.63step/s]
[ 8 / 20 ], Loss:1.3245, Acc:0.5312:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.5092, Acc:0.6250:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.3850, Acc:0.5312:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.1236, Acc:0.6562:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.1101, Acc:0.5000:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.5227, Acc:0.5625:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.2117, Acc:0.5000:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.2350, Acc:0.5312:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.1537, Acc:0.5312:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:0.8428, Acc:0.8125:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.0953, Acc:0.5312:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.3248, Acc:0.4688:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.0872, Acc:0.6562:   6%|▌         | 87/1563 [00:01<00:15, 95.35step/s]
[ 8 / 20 ], Loss:1.0872, Acc:0.6562:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.3170, Acc:0.5000:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.0037, Acc:0.6875:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.1443, Acc:0.5938:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.1153, Acc:0.6562:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.5887, Acc:0.3125:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.5540, Acc:0.4375:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.1959, Acc:0.5938:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.3915, Acc:0.5938:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.3397, Acc:0.5312:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.3544, Acc:0.5000:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.1563, Acc:0.5312:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.5565, Acc:0.4375:   6%|▋         | 99/1563 [00:01<00:14, 100.45step/s]
[ 8 / 20 ], Loss:1.5565, Acc:0.4375:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.1299, Acc:0.5625:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.3520, Acc:0.6562:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.3487, Acc:0.4688:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.3840, Acc:0.4688:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.0332, Acc:0.6562:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.3411, Acc:0.4688:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.0639, Acc:0.5625:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.1140, Acc:0.6250:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.5275, Acc:0.3438:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.2565, Acc:0.5312:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.4900, Acc:0.5000:   7%|▋         | 111/1563 [00:01<00:14, 101.44step/s]
[ 8 / 20 ], Loss:1.4900, Acc:0.5000:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.1962, Acc:0.6562:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.2760, Acc:0.5312:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.0363, Acc:0.6875:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:0.9500, Acc:0.6875:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.1917, Acc:0.5312:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.1812, Acc:0.5625:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.3422, Acc:0.4375:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.1157, Acc:0.5938:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.2723, Acc:0.5000:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.4434, Acc:0.4688:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.4447, Acc:0.5312:   8%|▊         | 122/1563 [00:01<00:13, 103.19step/s]
[ 8 / 20 ], Loss:1.4447, Acc:0.5312:   9%|▊         | 133/1563 [00:01<00:13, 102.77step/s]
